user_id,timestamp,city,country,lat,lon,ip,os,browser,failed_attempts,files_downloaded,mb_downloaded,api_calls,sensitive_access,session_minutes,scenario
EMP003,2026-08-07T10:45:00,Bengaluru,India,12.97,77.59,122.197.231.242,iOS,Safari,0,14,9.2,19,5,323,
EMP011,2026-08-07T11:43:00,Chennai,India,13.08,80.27,157.60.254.102,macOS,Safari,0,12,20.5,14,3,246,
EMP005,2026-08-07T12:11:00,Mumbai,India,19.08,72.88,49.51.74.82,Android,Chrome Mobile,0,4,13.2,21,1,82,
EMP006,2026-08-07T13:04:00,Hyderabad,India,17.39,78.49,157.174.71.114,macOS,Chrome,0,46,528.7,319,5,256,
EMP007,2026-08-07T13:11:00,Vellore,India,12.92,79.13,106.157.103.3,Windows 11,Edge,0,12,13.4,10,4,296,
EMP015,2026-08-07T13:25:00,Vellore,India,12.92,79.13,106.54.14.26,Windows 11,Chrome,0,8,9.1,38,0,340,
EMP006,2026-08-07T14:37:00,Hyderabad,India,17.39,78.49,106.18.80.238,macOS,Chrome,0,8,65.7,320,1,302,
EMP012,2026-08-07T14:54:00,Hyderabad,India,17.39,78.49,106.166.104.249,Windows 11,Edge,0,20,65.2,360,2,308,
EMP008,2026-08-07T14:55:00,Pune,India,18.52,73.86,117.173.205.62,Android,Chrome Mobile,0,17,14.5,38,7,269,
EMP001,2026-08-07T15:28:00,Chennai,India,13.08,80.27,49.241.108.230,Android,Chrome Mobile,0,1,2.0,123,0,254,
EMP009,2026-08-07T15:52:00,Mumbai,India,19.08,72.88,49.51.128.32,macOS,Safari,0,24,123.8,25,1,348,
EMP004,2026-08-07T16:18:00,Bengaluru,India,12.97,77.59,157.181.32.60,Ubuntu,Firefox,0,46,206.2,998,3,125,
EMP005,2026-08-07T16:54:00,Mumbai,India,19.08,72.88,106.189.120.254,Windows 11,Chrome,0,8,21.6,13,0,267,
EMP004,2026-08-07T17:37:00,Bengaluru,India,12.97,77.59,49.26.17.143,Ubuntu,Firefox,0,35,140.7,729,1,328,
EMP009,2026-08-07T18:00:00,Mumbai,India,19.08,72.88,122.158.15.63,macOS,Safari,1,23,154.3,24,0,122,
EMP010,2026-08-07T18:24:00,Chennai,India,13.08,80.27,49.198.225.91,macOS,Chrome,0,10,26.8,370,0,429,
EMP013,2026-08-07T21:01:00,Kolkata,India,22.57,88.36,122.199.237.92,Android,Chrome Mobile,0,2,2.4,121,0,132,
EMP013,2026-08-07T21:38:00,Kolkata,India,22.57,88.36,157.175.47.44,Windows 11,Chrome,0,9,5.5,140,0,267,
EMP013,2026-08-08T01:57:00,Kolkata,India,22.57,88.36,122.226.174.178,Android,Chrome Mobile,0,13,14.1,141,0,260,
EMP013,2026-08-08T05:47:00,Kolkata,India,22.57,88.36,157.133.89.140,Windows 11,Chrome,0,6,6.8,95,0,401,
EMP014,2026-08-08T08:15:00,Bengaluru,India,12.97,77.59,106.170.60.141,Ubuntu,Firefox,0,13,28.5,778,1,310,
EMP010,2026-08-08T11:11:00,Chennai,India,13.08,80.27,157.130.222.172,macOS,Chrome,0,10,22.8,249,0,255,
EMP004,2026-08-08T13:05:00,Bengaluru,India,12.97,77.59,106.55.34.144,Ubuntu,Firefox,0,33,128.5,622,2,251,
EMP004,2026-08-08T16:00:00,Bengaluru,India,12.97,77.59,117.79.123.181,Ubuntu,Firefox,0,31,104.5,444,2,103,
EMP010,2026-08-08T16:18:00,Chennai,India,13.08,80.27,122.127.205.91,macOS,Chrome,0,9,17.5,212,0,149,
EMP001,2026-08-08T16:39:00,Chennai,India,13.08,80.27,122.22.225.14,Windows 11,Chrome,0,10,19.1,152,0,303,
EMP010,2026-08-09T10:06:00,Chennai,India,13.08,80.27,157.217.73.73,macOS,Chrome,0,15,39.7,181,0,239,
EMP014,2026-08-09T10:33:00,Bengaluru,India,12.97,77.59,157.57.41.218,Ubuntu,Firefox,0,19,45.5,810,2,179,
EMP011,2026-08-09T13:04:00,Kolkata,India,22.57,88.36,49.169.152.145,macOS,Safari,0,15,28.4,13,8,209,
EMP009,2026-08-09T14:19:00,Mumbai,India,19.08,72.88,106.40.70.192,macOS,Safari,0,21,108.3,21,2,201,
EMP010,2026-08-09T14:23:00,Chennai,India,13.08,80.27,117.129.122.15,macOS,Chrome,0,9,23.0,318,0,216,
EMP013,2026-08-10T03:07:00,Kolkata,India,22.57,88.36,106.189.174.206,Windows 11,Chrome,0,14,12.6,91,1,340,
EMP013,2026-08-10T03:16:00,Kolkata,India,22.57,88.36,117.190.22.184,Android,Chrome Mobile,0,8,5.9,116,0,268,
EMP015,2026-08-10T09:42:00,Vellore,India,12.92,79.13,157.7.52.128,Windows 11,Chrome,0,3,2.5,30,0,387,
EMP002,2026-08-10T10:39:00,Chennai,India,13.08,80.27,157.128.137.243,Windows 11,Edge,0,31,24.7,51,10,157,
EMP007,2026-08-10T10:59:00,Delhi,India,28.61,77.21,49.7.33.207,iOS,Safari,0,17,21.3,11,10,153,
EMP010,2026-08-10T11:33:00,Chennai,India,13.08,80.27,157.144.169.177,macOS,Chrome,0,15,40.0,251,1,291,
EMP004,2026-08-10T12:23:00,Bengaluru,India,12.97,77.59,122.171.30.181,Ubuntu,Firefox,0,41,104.1,715,4,173,
EMP003,2026-08-10T12:31:00,Bengaluru,India,12.97,77.59,106.229.201.59,macOS,Safari,0,4,3.0,29,1,253,
EMP008,2026-08-10T14:03:00,Pune,India,18.52,73.86,117.23.224.47,Windows 11,Chrome,0,30,31.8,22,15,333,
EMP006,2026-08-10T14:15:00,Hyderabad,India,17.39,78.49,122.51.185.39,macOS,Chrome,0,67,739.4,387,8,356,
EMP009,2026-08-10T14:43:00,Mumbai,India,19.08,72.88,106.114.75.163,iOS,Safari,0,26,207.4,20,1,303,
EMP005,2026-08-10T16:32:00,Mumbai,India,19.08,72.88,157.174.37.236,Windows 11,Chrome,0,11,21.7,14,1,279,
EMP001,2026-08-10T17:35:00,Chennai,India,13.08,80.27,157.109.235.77,Windows 11,Chrome,0,13,31.8,122,0,77,
EMP012,2026-08-10T17:48:00,Hyderabad,India,17.39,78.49,122.90.22.83,Windows 11,Edge,1,9,27.5,480,1,318,
EMP011,2026-08-10T19:03:00,Chennai,India,13.08,80.27,117.164.36.161,macOS,Safari,0,14,24.1,8,9,287,
EMP006,2026-08-10T19:11:00,Hyderabad,India,17.39,78.49,157.11.84.161,macOS,Chrome,0,4,55.3,397,0,327,
EMP011,2026-08-10T19:45:00,Chennai,India,13.08,80.27,49.44.17.233,macOS,Safari,0,10,10.8,11,2,408,
EMP014,2026-08-10T22:48:00,Bengaluru,India,12.97,77.59,122.90.33.113,Ubuntu,Firefox,0,22,61.5,652,2,162,
EMP013,2026-08-11T02:13:00,Kolkata,India,22.57,88.36,117.215.15.206,Windows 11,Chrome,0,7,7.8,119,0,128,
EMP014,2026-08-11T02:29:00,Bengaluru,India,12.97,77.59,106.240.241.156,Ubuntu,Firefox,0,22,58.2,854,2,148,
EMP013,2026-08-11T04:12:00,Kolkata,India,22.57,88.36,117.11.8.17,Windows 11,Chrome,0,7,5.3,134,0,110,
EMP007,2026-08-11T09:25:00,Delhi,India,28.61,77.21,117.250.8.244,Windows 11,Edge,0,7,7.3,7,2,171,
EMP014,2026-08-11T10:06:00,Bengaluru,India,12.97,77.59,157.194.14.3,Ubuntu,Firefox,0,21,35.0,485,0,351,
EMP003,2026-08-11T10:26:00,Bengaluru,India,12.97,77.59,117.166.109.39,macOS,Safari,0,9,5.1,18,2,225,
EMP009,2026-08-11T10:56:00,Mumbai,India,19.08,72.88,117.123.149.198,macOS,Safari,0,15,94.1,12,0,288,
EMP005,2026-08-11T12:37:00,Mumbai,India,19.08,72.88,122.246.126.85,Windows 11,Chrome,0,2,4.4,9,0,317,
EMP002,2026-08-11T12:51:00,Chennai,India,13.08,80.27,106.51.238.25,Windows 11,Edge,0,18,15.0,39,8,180,
EMP011,2026-08-11T13:22:00,Chennai,India,13.08,80.27,49.195.147.34,macOS,Safari,0,21,22.5,12,13,147,
EMP006,2026-08-11T13:43:00,Hyderabad,India,17.39,78.49,122.121.252.148,macOS,Chrome,1,39,654.2,376,1,141,
EMP005,2026-08-11T14:11:00,Mumbai,India,19.08,72.88,122.180.39.96,Android,Chrome Mobile,0,9,28.1,14,2,142,
EMP004,2026-08-11T14:25:00,Bengaluru,India,12.97,77.59,157.45.103.36,Ubuntu,Firefox,0,21,60.9,816,3,367,
EMP011,2026-08-11T14:33:00,Chennai,India,13.08,80.27,117.204.200.128,macOS,Safari,0,19,17.4,14,7,98,
EMP012,2026-08-11T14:39:00,Hyderabad,India,17.39,78.49,117.174.169.136,Windows 11,Edge,0,21,63.5,298,4,139,
EMP015,2026-08-11T15:04:00,Vellore,India,12.92,79.13,122.134.21.40,Windows 11,Chrome,0,14,14.7,34,2,129,
EMP006,2026-08-11T15:10:00,Hyderabad,India,17.39,78.49,117.71.104.51,macOS,Chrome,0,60,914.0,354,8,186,
EMP008,2026-08-11T15:26:00,Pune,India,18.52,73.86,122.157.255.82,Windows 11,Chrome,0,20,13.9,32,10,322,
EMP001,2026-08-11T15:51:00,Chennai,India,13.08,80.27,49.140.112.204,Windows 11,Chrome,0,13,17.9,248,1,400,
EMP015,2026-08-11T16:01:00,Vellore,India,12.92,79.13,157.39.27.170,Windows 11,Chrome,1,12,14.5,38,3,213,
EMP010,2026-08-11T17:12:00,Chennai,India,13.08,80.27,157.210.39.71,macOS,Chrome,1,13,24.0,252,0,162,
EMP012,2026-08-11T17:14:00,Hyderabad,India,17.39,78.49,106.220.232.249,Windows 11,Edge,0,22,50.6,559,4,101,
EMP008,2026-08-11T17:50:00,Pune,India,18.52,73.86,122.30.255.127,Windows 11,Chrome,0,20,16.3,26,9,173,
EMP009,2026-08-11T18:01:00,Mumbai,India,19.08,72.88,117.196.184.247,macOS,Safari,1,16,109.6,13,0,229,
EMP001,2026-08-11T18:29:00,Chennai,India,13.08,80.27,49.157.155.64,Android,Chrome Mobile,0,19,40.0,202,1,243,
EMP013,2026-08-12T04:15:00,Kolkata,India,22.57,88.36,117.133.67.41,Windows 11,Chrome,0,6,3.9,116,1,260,
EMP011,2026-08-12T09:38:00,Chennai,India,13.08,80.27,106.9.12.30,macOS,Safari,0,10,18.2,18,8,294,
EMP007,2026-08-12T09:54:00,Delhi,India,28.61,77.21,106.6.184.243,Windows 11,Edge,0,12,16.1,10,8,225,
EMP011,2026-08-12T10:14:00,Chennai,India,13.08,80.27,117.154.130.42,macOS,Safari,0,20,39.2,14,12,111,
EMP002,2026-08-12T10:34:00,Chennai,India,13.08,80.27,106.132.72.168,Windows 11,Edge,0,27,21.1,32,10,278,
EMP014,2026-08-12T10:52:00,Bengaluru,India,12.97,77.59,49.198.223.124,Ubuntu,Firefox,0,19,55.2,651,2,155,
EMP012,2026-08-12T11:09:00,Hyderabad,India,17.39,78.49,117.8.117.80,Windows 11,Edge,0,17,61.1,526,4,290,
EMP015,2026-08-12T11:33:00,Vellore,India,12.92,79.13,106.147.238.101,Android,Chrome Mobile,0,14,10.2,19,0,206,
EMP010,2026-08-12T12:26:00,Chennai,India,13.08,80.27,117.121.210.94,Android,Chrome Mobile,0,10,23.3,378,0,238,
EMP002,2026-08-12T12:58:00,Chennai,India,13.08,80.27,49.122.175.204,Windows 11,Edge,0,30,17.9,43,11,244,
EMP004,2026-08-12T14:01:00,Bengaluru,India,12.97,77.59,117.123.241.68,Ubuntu,Firefox,0,36,126.8,996,5,356,
EMP008,2026-08-12T14:32:00,Pune,India,18.52,73.86,122.197.70.67,Windows 11,Chrome,0,16,17.0,25,8,286,
EMP006,2026-08-12T15:28:00,Hyderabad,India,17.39,78.49,117.74.198.206,macOS,Chrome,1,35,326.7,339,4,117,
EMP001,2026-08-12T15:42:00,Chennai,India,13.08,80.27,157.109.197.117,Android,Chrome Mobile,0,23,51.7,236,1,344,
EMP005,2026-08-12T15:53:00,Mumbai,India,19.08,72.88,106.218.225.16,Windows 11,Chrome,0,5,12.2,13,0,243,
EMP009,2026-08-12T16:09:00,Mumbai,India,19.08,72.88,49.8.148.19,macOS,Safari,2,14,59.5,16,0,376,
EMP003,2026-08-12T16:19:00,Bengaluru,India,12.97,77.59,106.227.48.221,iOS,Safari,0,10,6.2,27,2,256,
EMP015,2026-08-12T17:14:00,Vellore,India,12.92,79.13,49.26.16.74,Windows 11,Chrome,0,19,22.1,32,4,190,
EMP010,2026-08-12T18:16:00,Chennai,India,13.08,80.27,106.189.184.98,macOS,Chrome,0,16,38.2,224,1,168,
EMP013,2026-08-12T22:04:00,Kolkata,India,22.57,88.36,157.110.55.216,Windows 11,Chrome,0,6,7.0,138,0,90,
EMP013,2026-08-13T01:29:00,Bengaluru,India,12.97,77.59,117.96.97.77,Windows 11,Chrome,0,5,6.8,109,0,162,
EMP011,2026-08-13T08:13:00,Chennai,India,13.08,80.27,157.154.32.162,macOS,Safari,0,15,26.4,12,10,158,
EMP007,2026-08-13T09:22:00,Delhi,India,28.61,77.21,49.141.170.74,Windows 11,Edge,0,7,5.8,15,3,287,
EMP003,2026-08-13T10:12:00,Bengaluru,India,12.97,77.59,157.35.247.115,macOS,Safari,0,11,5.6,19,3,253,
EMP009,2026-08-13T10:28:00,Mumbai,India,19.08,72.88,106.161.192.49,macOS,Safari,0,22,146.1,17,0,149,
EMP001,2026-08-13T11:47:00,Chennai,India,13.08,80.27,117.187.154.96,Windows 11,Chrome,1,21,32.9,283,1,337,
EMP011,2026-08-13T12:29:00,Chennai,India,13.08,80.27,49.44.41.218,macOS,Safari,0,12,24.6,8,4,142,
EMP004,2026-08-13T14:09:00,Bengaluru,India,12.97,77.59,49.236.110.70,Ubuntu,Firefox,0,17,42.5,1125,1,344,
EMP004,2026-08-13T14:13:00,Bengaluru,India,12.97,77.59,106.236.79.144,Ubuntu,Firefox,0,44,227.1,755,7,325,
EMP015,2026-08-13T14:16:00,Vellore,India,12.92,79.13,122.171.243.196,Windows 11,Chrome,0,15,18.6,38,2,301,
EMP008,2026-08-13T15:01:00,Pune,India,18.52,73.86,106.222.98.11,Android,Chrome Mobile,0,10,9.5,34,5,300,
EMP012,2026-08-13T15:13:00,Hyderabad,India,17.39,78.49,122.91.160.198,Android,Chrome Mobile,1,24,86.1,290,2,36,
EMP002,2026-08-13T15:53:00,Chennai,India,13.08,80.27,49.13.116.95,Windows 11,Edge,0,19,11.0,25,2,282,
EMP009,2026-08-13T16:27:00,Mumbai,India,19.08,72.88,157.17.225.141,iOS,Safari,0,25,207.2,13,0,237,
EMP005,2026-08-13T17:03:00,Mumbai,India,19.08,72.88,106.228.43.37,Windows 11,Chrome,0,12,39.5,9,0,169,
EMP006,2026-08-13T18:18:00,Hyderabad,India,17.39,78.49,49.165.245.113,macOS,Chrome,0,45,514.0,450,2,222,
EMP001,2026-08-13T18:22:00,Chennai,India,13.08,80.27,106.77.157.65,Windows 11,Chrome,0,7,17.1,302,0,251,
EMP010,2026-08-13T18:27:00,Chennai,India,13.08,80.27,117.105.218.197,macOS,Chrome,0,13,27.9,325,0,305,
EMP010,2026-08-13T19:52:00,Chennai,India,13.08,80.27,49.212.150.151,Android,Chrome Mobile,0,9,18.9,369,0,331,
EMP014,2026-08-13T22:37:00,Bengaluru,India,12.97,77.59,49.212.179.232,Android,Chrome Mobile,0,12,30.2,567,2,195,
EMP014,2026-08-13T22:37:00,Bengaluru,India,12.97,77.59,122.82.190.186,Ubuntu,Firefox,0,23,60.9,925,4,225,
EMP013,2026-08-14T00:35:00,Kolkata,India,22.57,88.36,106.73.201.169,Windows 11,Chrome,0,6,5.7,61,1,308,
EMP014,2026-08-14T06:09:00,Bengaluru,India,12.97,77.59,49.52.55.104,Ubuntu,Firefox,0,12,24.6,704,1,329,
EMP014,2026-08-14T09:01:00,Bengaluru,India,12.97,77.59,157.21.229.68,Ubuntu,Firefox,1,14,38.8,401,0,80,
EMP012,2026-08-14T09:16:00,Hyderabad,India,17.39,78.49,122.108.25.144,Windows 11,Edge,0,28,70.6,345,5,261,
EMP001,2026-08-14T09:28:00,Kolkata,India,22.57,88.36,122.125.79.45,Windows 11,Chrome,0,8,9.1,253,0,213,
EMP008,2026-08-14T09:37:00,Chennai,India,13.08,80.27,106.149.142.77,Windows 11,Chrome,1,17,17.4,24,9,208,
EMP015,2026-08-14T09:51:00,Vellore,India,12.92,79.13,122.156.29.221,Windows 11,Chrome,0,13,9.4,35,3,417,
EMP015,2026-08-14T10:06:00,Vellore,India,12.92,79.13,157.123.222.242,Windows 11,Chrome,0,21,16.2,44,2,88,
EMP006,2026-08-14T11:19:00,Hyderabad,India,17.39,78.49,122.184.207.67,macOS,Chrome,0,36,259.9,382,1,262,
EMP004,2026-08-14T11:34:00,Bengaluru,India,12.97,77.59,49.139.31.88,Ubuntu,Firefox,0,22,79.2,723,1,237,
EMP002,2026-08-14T12:42:00,Chennai,India,13.08,80.27,49.57.164.62,Windows 11,Edge,0,32,19.3,28,11,1,
EMP006,2026-08-14T12:45:00,Hyderabad,India,17.39,78.49,49.133.225.241,macOS,Chrome,0,64,664.5,269,6,155,
EMP001,2026-08-14T13:27:00,Kolkata,India,22.57,88.36,122.132.232.24,Windows 11,Chrome,1,13,17.1,164,0,306,
EMP009,2026-08-14T13:28:00,Mumbai,India,19.08,72.88,117.236.178.129,macOS,Safari,1,22,137.6,22,0,241,
EMP003,2026-08-14T14:22:00,Delhi,India,28.61,77.21,117.59.58.207,macOS,Safari,0,5,2.2,31,2,258,
EMP003,2026-08-14T16:05:00,Delhi,India,28.61,77.21,117.65.11.108,macOS,Safari,0,18,6.8,17,5,386,
EMP007,2026-08-14T16:10:00,Delhi,India,28.61,77.21,157.160.148.141,Windows 11,Edge,0,12,11.2,9,6,198,
EMP011,2026-08-14T16:31:00,Chennai,India,13.08,80.27,49.101.127.53,macOS,Safari,0,18,17.0,11,11,378,
EMP009,2026-08-14T17:01:00,Mumbai,India,19.08,72.88,106.149.48.202,macOS,Safari,0,29,160.2,12,0,352,
EMP007,2026-08-14T17:08:00,Delhi,India,28.61,77.21,122.229.84.211,Windows 11,Edge,0,10,8.3,10,3,315,
EMP010,2026-08-14T17:27:00,Chennai,India,13.08,80.27,106.82.243.151,macOS,Chrome,0,8,15.2,304,0,197,
EMP005,2026-08-14T17:56:00,Mumbai,India,19.08,72.88,122.147.215.40,Windows 11,Chrome,1,11,34.2,15,0,321,
EMP013,2026-08-14T21:42:00,Kolkata,India,22.57,88.36,106.59.46.188,Windows 11,Chrome,0,7,8.2,98,2,232,
EMP009,2026-08-15T11:45:00,Mumbai,India,19.08,72.88,122.46.126.115,macOS,Safari,0,35,186.4,22,0,54,
EMP009,2026-08-15T15:16:00,Mumbai,India,19.08,72.88,49.41.123.175,macOS,Safari,1,21,141.2,22,0,180,
EMP014,2026-08-16T19:27:00,Bengaluru,India,12.97,77.59,49.89.58.64,Ubuntu,Firefox,0,11,36.9,546,0,245,
EMP013,2026-08-17T04:21:00,Kolkata,India,22.57,88.36,106.162.185.176,Windows 11,Chrome,0,9,8.9,114,0,213,
EMP012,2026-08-17T08:14:00,Hyderabad,India,17.39,78.49,106.125.132.156,Windows 11,Edge,0,22,87.0,563,4,160,
EMP012,2026-08-17T09:15:00,Hyderabad,India,17.39,78.49,106.155.111.150,Windows 11,Edge,0,21,39.5,425,4,177,
EMP015,2026-08-17T09:17:00,Vellore,India,12.92,79.13,122.251.89.38,Android,Chrome Mobile,2,14,10.0,29,2,374,
EMP008,2026-08-17T10:05:00,Pune,India,18.52,73.86,157.218.168.65,Windows 11,Chrome,2,16,10.9,32,6,323,
EMP003,2026-08-17T10:52:00,Bengaluru,India,12.97,77.59,122.235.74.160,macOS,Safari,0,8,3.3,31,4,280,
EMP007,2026-08-17T11:18:00,Delhi,India,28.61,77.21,106.218.10.120,Windows 11,Edge,0,10,14.6,15,4,137,
